Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,2.5214881535632685,2021-05-15 06:00:00+00:00,3961.9499999999994,9.99000999000964,2021-05-16 00:00:00+00:00,3767.0,9.498445874472832,-511.0525714016402,-0.05115636239730418,Long,Closed,0
1,0,3.5040487195966876,2021-06-03 00:00:00+00:00,2705.29,9.479467960636612,2021-06-05 13:00:00+00:00,2616.93,9.16985021577416,-328.2670630399752,-0.034629270799064055,Long,Closed,1
2,0,3.481733970233927,2021-06-06 00:00:00+00:00,2628.44,9.1515288367209,2021-06-08 02:00:00+00:00,2481.39,8.639539856398764,-529.7800490160195,-0.05788978633714295,Long,Closed,2
3,0,3.5144629788836834,2021-06-09 00:00:00+00:00,2453.37,8.622278038503282,2021-06-11 01:00:00+00:00,2425.87,8.52563030658456,-113.79564026438965,-0.013197862531945846,Long,Closed,3
4,0,3.9160673068097327,2021-06-30 00:00:00+00:00,2172.74,8.508596080197094,2021-07-01 14:00:00+00:00,2093.67,8.198952638248333,-326.35099066789076,-0.03835544519822886,Long,Closed,4
5,0,3.7266853008401033,2021-07-03 08:00:00+00:00,2195.67,8.182571114494749,2021-07-09 00:00:00+00:00,2070.38,7.7156547131533335,-482.8146271699041,-0.05900524669007621,Long,Closed,5
6,0,3.729073678215408,2021-07-23 02:00:00+00:00,2064.92,7.700238819619699,2021-07-26 20:00:00+00:00,2264.8,8.445606066422258,729.2214019156547,0.09470114096429909,Long,Closed,6
7,0,3.6567959082093795,2021-07-28 09:00:00+00:00,2304.95,8.428731728627099,2021-08-02 09:00:00+00:00,2602.76,9.517762118051046,1071.0838955771587,0.12707533352133474,Long,Closed,7
8,0,3.801018651589705,2021-08-03 09:00:00+00:00,2499.0,9.498745610320839,2021-08-05 12:00:00+00:00,2606.8,9.908495420964044,390.34256961008646,0.04109411764705914,Long,Closed,8
9,0,3.4198252261102113,2021-08-06 23:00:00+00:00,2891.58,9.888698227314308,2021-08-07 17:00:00+00:00,3047.77,10.42284072938192,513.8309631094573,0.05196143630817765,Long,Closed,9
10,0,3.2535683391499695,2021-08-11 06:00:00+00:00,3197.11,10.402015872778065,2021-08-12 16:00:00+00:00,3001.11,9.764316478306366,-657.8657268244775,-0.06324406104262888,Long,Closed,10
11,0,3.1823104306322905,2021-08-13 00:00:00+00:00,3062.18,9.744807354472869,2021-08-14 08:00:00+00:00,3299.91,10.501338013147802,736.2845133065929,0.0755566001998576,Long,Closed,11
12,0,3.4691679307566496,2021-08-18 00:00:00+00:00,3021.0,10.480356318814302,2021-08-20 00:00:00+00:00,3229.66,11.204232899247522,702.1919912136209,0.06700077457795449,Long,Closed,12
13,0,3.5788094005136073,2021-08-25 10:00:00+00:00,3124.46,11.181846819526982,2021-08-26 06:00:00+00:00,3091.77,11.064855540225956,-139.23798166254358,-0.012452145330713062,Long,Closed,13
14,0,3.5473237658928043,2021-08-27 00:00:00+00:00,3112.98,11.042747936748128,2021-09-01 16:00:00+00:00,3741.58,13.272595655989198,2205.5323756474795,0.19972676984754167,Long,Closed,14
15,0,3.5147602577413593,2021-09-01 21:00:00+00:00,3768.7,13.246076983348757,2021-09-03 08:00:00+00:00,3890.17,13.673014911857704,400.0188366126384,0.03019904211001164,Long,Closed,15
16,0,4.010597253342515,2021-09-15 00:00:00+00:00,3402.41,13.64569620074326,2021-09-17 12:00:00+00:00,3455.05,13.856814040161057,183.61532917504627,0.013455915071963876,Long,Closed,16
17,0,4.579045027804759,2021-10-01 00:00:00+00:00,3020.09,13.829128098021101,2021-10-07 16:00:00+00:00,3596.18,16.46707014809092,2607.6458518219306,0.1885618408722919,Long,Closed,17
18,0,4.581604328150845,2021-10-09 16:00:00+00:00,3586.99,16.43416890903245,2021-10-14 16:00:00+00:00,3783.08,17.332575701740897,864.6400480963276,0.0526123379212099,Long,Closed,18
19,0,4.4997048001317035,2021-10-20 03:00:00+00:00,3844.2400000000002,17.297945180856914,2021-10-21 00:00:00+00:00,4187.8,18.84386376199155,1509.7767721904015,0.08728070047655732,Long,Closed,19
20,0,4.500795440512206,2021-10-28 18:00:00+00:00,4178.42,18.806213684543764,2021-11-10 22:00:00+00:00,4640.54,20.88612127351451,2040.2152540114394,0.108486231637796,Long,Closed,20
21,0,4.424254999369511,2021-11-12 07:00:00+00:00,4711.39,20.84439076147828,2021-11-16 00:00:00+00:00,4438.7,19.63794066570145,-1246.9324272052527,-0.059821006114968184,Long,Closed,21
22,0,4.54508020997218,2021-11-25 00:00:00+00:00,4312.07,19.598704021012963,2021-11-26 08:00:00+00:00,4099.94,18.634556156073337,-1002.3811251184848,-0.05114527593475979,Long,Closed,22
23,0,4.281536389234214,2021-11-29 00:00:00+00:00,4343.61,18.597324275640858,2021-11-30 16:00:00+00:00,4557.5,19.51310209393493,877.6673919237313,0.047193207953752855,Long,Closed,23
24,0,4.303671796014151,2021-12-02 05:00:00+00:00,4525.0,19.47411487696081,2021-12-02 16:00:00+00:00,4483.74,19.29654537866049,-216.34015855916772,-0.01110911381215466,Long,Closed,24
25,0,4.490497117350235,2021-12-07 21:00:00+00:00,4288.61,19.25799084243772,2021-12-09 14:00:00+00:00,4233.4,19.010070496590483,-286.1884071879346,-0.01486076141220573,Long,Closed,25
26,0,4.8151286357595335,2021-12-23 00:00:00+00:00,3940.1,18.97208833775585,2021-12-28 01:00:00+00:00,3982.34,19.17547937133062,165.24346586539755,0.008709819547727302,Long,Closed,26
27,0,6.823614029072065,2022-02-04 07:00:00+00:00,2804.55,19.13716672523151,2022-02-06 00:00:00+00:00,3026.31,20.65037137232108,1473.4171089894664,0.07699243728940475,Long,Closed,27
28,0,6.4428843510443805,2022-02-10 08:00:00+00:00,3198.74,20.609111889058113,2022-02-11 18:00:00+00:00,3005.47,19.363895630533353,-1285.1892660459382,-0.06236024497145741,Long,Closed,28
29,0,6.54421796275489,2022-02-12 01:00:00+00:00,2953.02,19.32520652837411,2022-02-17 13:00:00+00:00,2994.15,19.594370213182554,230.2441080665504,0.011914186155190217,Long,Closed,29
30,0,6.754825776285674,2022-03-01 09:00:00+00:00,2895.0,19.555220622343768,2022-03-01 16:00:00+00:00,2906.0,19.62952370588617,35.11833921091376,0.0017958549222800249,Long,Closed,30
31,0,7.502586563072828,2022-03-16 00:00:00+00:00,2611.14,19.590303878299892,2022-03-31 16:00:00+00:00,3271.53,24.54493701868965,4910.497899490679,0.25065960844688556,Long,Closed,31
32,0,7.0243559982236805,2022-04-03 19:00:00+00:00,3487.28,24.495896185482707,2022-04-06 00:00:00+00:00,3324.48,23.352331028974664,-1191.413383725274,-0.04863726457296225,Long,Closed,32
33,0,7.246766342430766,2022-04-09 00:00:00+00:00,3216.01,23.305673024919088,2022-04-11 01:00:00+00:00,3187.09,23.09609654229767,-255.9782521903156,-0.01098351684229835,Long,Closed,33
34,0,12.765600092632551,2022-05-30 00:00:00+00:00,1805.63,23.04995049525678,2022-05-31 08:00:00+00:00,1971.48,25.167125270623224,2068.957699597226,0.08975974590586114,Long,Closed,34
35,0,23.412199088420646,2022-07-04 00:00:00+00:00,1072.81,25.11684130404683,2022-07-04 16:00:00+00:00,1109.62,25.978644352493315,810.7075627882225,0.032277448942496824,Long,Closed,35
36,0,21.836353273903963,2022-07-14 22:00:00+00:00,1187.32,25.9267389691704,2022-07-16 16:00:00+00:00,1358.85,29.6723286462444,3689.9906094573303,0.14232374591517027,Long,Closed,36
37,0,18.593216009696757,2022-07-20 10:00:00+00:00,1592.68,29.613043274319352,2022-07-21 00:00:00+00:00,1527.81,28.406901351774803,-1264.1618671751223,-0.04268936007233075,Long,Closed,37
38,0,20.06990400908763,2022-07-26 08:00:00+00:00,1412.57,28.35014430611409,2022-07-26 19:00:00+00:00,1366.02,27.415890274493883,-990.0200662036377,-0.03492116496881563,Long,Closed,38
39,0,18.73176415843884,2022-07-27 08:00:00+00:00,1460.68,27.36111327094477,2022-07-28 15:00:00+00:00,1728.31,32.37429531267143,4953.446633139367,0.18103965961059232,Long,Closed,39
40,0,18.62450867595087,2022-07-30 16:00:00+00:00,1734.79,32.30961140594809,2022-08-02 01:00:00+00:00,1605.56,29.902766149759678,-2469.0576337488415,-0.07641867315352284,Long,Closed,40
41,0,17.4039180298045,2022-08-06 19:00:00+00:00,1714.73,29.84302036324516,2022-08-19 01:00:00+00:00,1816.18,31.60864784737034,1704.1758159130509,0.05710466953981097,Long,Closed,41
42,0,20.02456212996379,2022-09-05 00:00:00+00:00,1575.34,31.545493705812987,2022-09-06 17:00:00+00:00,1587.8,31.794999749956506,186.16555068358122,0.005901494280599936,Long,Closed,42
43,0,19.46966988196616,2022-09-08 03:00:00+00:00,1629.79,31.73147327692641,2022-09-08 20:00:00+00:00,1644.92,32.02604938224378,230.8185826549803,0.007274121205799701,Long,Closed,43
44,0,18.66332348740479,2022-09-09 06:00:00+00:00,1712.56,31.962061271588027,2022-09-13 00:00:00+00:00,1687.81,31.500144015276675,-525.3794616001353,-0.016437596346989308,Long,Closed,44
45,0,23.78723264573003,2022-10-04 00:00:00+00:00,1321.6,31.43720666459194,2022-10-08 21:00:00+00:00,1307.34,31.098000727068694,-401.74114491977025,-0.012779161622275857,Long,Closed,45
46,0,23.811832972335118,2022-10-17 00:00:00+00:00,1303.38,31.03586685947812,2022-10-18 16:00:00+00:00,1309.93,31.191834365450944,93.73980474386522,0.003020370114625157,Long,Closed,46
47,0,23.911016305576837,2022-10-22 00:00:00+00:00,1301.89,31.129513018062426,2022-10-25 20:00:00+00:00,1473.85,35.24125138197442,4045.3675995069516,0.12995280707279416,Long,Closed,47
48,0,22.400239022298532,2022-11-01 00:00:00+00:00,1570.1100000000001,35.17083929129876,2022-11-02 18:00:00+00:00,1563.69,35.02702975677799,-214.00740357123266,-0.0060847966066070935,Long,Closed,48
49,0,22.538391799703337,2022-11-04 04:00:00+00:00,1551.0,34.95704568133806,2022-11-06 08:00:00+00:00,1631.46,36.770484685544005,1741.7114738372447,0.04982433268858795,Long,Closed,49
50,0,31.442637955012632,2022-11-29 00:00:00+00:00,1167.11,36.69701718367287,2022-11-29 16:00:00+00:00,1209.24,38.021695520719476,1249.959624340294,0.034061613729640054,Long,Closed,50
51,0,29.79524015319513,2022-12-03 09:00:00+00:00,1273.55,37.945728097096435,2022-12-07 07:00:00+00:00,1224.63,36.48814494880736,-1532.0170213402068,-0.04037389972910348,Long,Closed,51
52,0,29.63118236079275,2022-12-07 08:00:00+00:00,1228.95,36.415241562295705,2022-12-15 00:00:00+00:00,1304.8,38.66276674436238,2172.447173759471,0.059657634566092986,Long,Closed,52
53,0,31.94932430729137,2023-01-03 16:00:00+00:00,1207.71,38.58551845915645,2023-01-06 10:00:00+00:00,1245.38,39.78904950581453,1125.1564786906983,0.02916007154035338,Long,Closed,53
54,0,31.45335876355719,2023-01-07 16:00:00+00:00,1262.49,39.70955090539792,2023-01-12 00:00:00+00:00,1415.23,44.51373692294904,4719.962729717379,0.11886215336359116,Long,Closed,54
55,0,28.577455959729864,2023-01-20 03:00:00+00:00,1554.54,44.42479838763393,2023-01-21 10:00:00+00:00,1641.25,46.90274959390664,2386.623658286642,0.053722779729051914,Long,Closed,55
56,0,28.618178698556058,2023-01-23 01:00:00+00:00,1635.64,46.8090378065026,2023-01-23 14:00:00+00:00,1599.13,45.76418810222195,-1137.4229301930036,-0.0242992162089456,Long,Closed,56
57,0,28.92804284345265,2023-01-27 11:00:00+00:00,1578.84,45.67275116295059,2023-01-27 20:00:00+00:00,1599.12,46.259411871821996,494.7285458304437,0.01083202857794336,Long,Closed,57
58,0,28.930126690818902,2023-01-28 02:00:00+00:00,1595.81,46.166985474468675,2023-02-01 19:00:00+00:00,1617.48,46.79390131986575,533.954958595711,0.011565731509390364,Long,Closed,58
59,0,28.39517408554617,2023-02-03 10:00:00+00:00,1644.66,46.70040701152902,2023-02-03 14:00:00+00:00,1662.06,47.19448304062286,400.18113903634907,0.008569114589033663,Long,Closed,59
60,0,28.498934089195277,2023-02-04 04:00:00+00:00,1652.7,47.1001883692079,2023-02-09 19:00:00+00:00,1579.81,45.022901063451584,-2169.4103951941083,-0.04605948447994191,Long,Closed,60
61,0,26.529302665256136,2023-02-16 01:00:00+00:00,1693.71,44.93294521716598,2023-02-16 16:00:00+00:00,1716.68,45.54232329939191,518.9028137043795,0.011548381954407978,Long,Closed,61
62,0,26.7606330788524,2023-02-18 05:00:00+00:00,1698.44,45.4513296464429,2023-02-24 15:00:00+00:00,1602.94,42.89568918741567,-2643.9874778642597,-0.05817184004144966,Long,Closed,62
63,0,26.907594918110338,2023-02-26 00:00:00+00:00,1591.0,42.80998351470771,2023-03-03 01:00:00+00:00,1552.79,41.78184431289255,-1112.7310296485957,-0.0259923255813952,Long,Closed,63
64,0,23.317450807461423,2023-03-22 00:00:00+00:00,1788.29,41.69836410447169,2023-03-22 19:00:00+00:00,1716.84,40.03233224428207,-1747.762556541875,-0.041914415447159,Long,Closed,64
65,0,22.973398175158742,2023-03-23 02:00:00+00:00,1739.07,39.952347564467345,2023-03-23 16:00:00+00:00,1828.54,42.007777499204764,1973.4698096677796,0.04939559074677858,Long,Closed,65
66,0,23.2329431287502,2023-03-24 04:00:00+00:00,1804.5,41.92384587582637,2023-04-02 19:00:00+00:00,1781.75,41.39529641965068,-611.868598474539,-0.014594763092269125,Long,Closed,66
67,0,23.065612858480776,2023-04-03 00:00:00+00:00,1791.09,41.312588534688985,2023-04-13 16:00:00+00:00,2000.49,46.14252786726221,4742.4842161639235,0.11479513592281813,Long,Closed,67
68,0,23.212843340604064,2023-04-19 16:00:00+00:00,1983.83,46.05033500438731,2023-04-20 12:00:00+00:00,1971.99,45.7754949392378,-366.6658950963805,-0.007962285074830001,Long,Closed,68
69,0,23.571922277776178,2023-04-20 20:00:00+00:00,1938.0700000000002,45.68403540888539,2023-04-21 05:00:00+00:00,1927.52,45.43535162885914,-339.8031670682884,-0.007438116270310174,Long,Closed,69
